Tempo  |   x001(t)   |   x002(t)   |   x003(t)   |   x004(t)   |   x005(t) 
0.000  |   1.000000  |   10.000000  |  -4.000000  |   3.000000  |  -2.000000
0.025  |   1.055003  |   9.838127  |  -3.847558  |   2.908934  |  -1.944953
0.050  |   1.216325  |   9.359975  |  -3.398366  |   2.641641  |  -1.782974
0.075  |   1.473105  |   8.587576  |  -2.676394  |   2.215489  |  -1.523354
0.100  |   1.807902  |   7.556412  |  -1.720175  |   1.658277  |  -1.180952
0.125  |   2.197646  |   6.313636  |  -0.580750  |   1.006580  |  -0.775289
0.150  |   2.614901  |   4.915701  |   0.681040  |   0.303568  |  -0.329360
0.175  |   3.029371  |   3.425536  |   1.997791  |  -0.403571  |   0.131765
0.200  |   3.409576  |   1.909404  |   3.299107  |  -1.066472  |   0.582469
0.225  |   3.724594  |   0.433603  |   4.515334  |  -1.638509  |   0.998156
0.250  |   3.945806  |  -0.938802  |   5.581238  |  -2.077644  |   1.356750
0.275  |   4.048516  |  -2.151081  |   6.439446  |  -2.349021  |   1.640055
0.300  |   4.013392  |  -3.155578  |   7.043453  |  -2.427171  |   1.834868
0.325  |   3.827638  |  -3.915983  |   7.360049  |  -2.297683  |   1.933796
0.350  |   3.485829  |  -4.408995  |   7.371021  |  -1.958260  |   1.935716
0.375  |   2.990378  |  -4.625312  |   7.074054  |  -1.419072  |   1.845842
0.400  |   2.351596  |  -4.569891  |   6.482783  |  -0.702401  |   1.675406
0.425  |   1.587352  |  -4.261475  |   5.625989  |   0.158416  |   1.440951
0.450  |   0.722333  |  -3.731410  |   4.545989  |   1.120689  |   1.163288
0.475  |  -0.213042  |  -3.021825  |   3.296320  |   2.134638  |   0.866175
0.500  |  -1.184013  |  -2.183269  |   1.938818  |   3.146070  |   0.574788
0.525  |  -2.153104  |  -1.271936  |   0.540285  |   4.099355  |   0.314080
0.550  |  -3.081893  |  -0.346623  |  -0.831103  |   4.940500  |   0.107123
0.575  |  -3.932849  |   0.534422  |  -2.109437  |   5.620175  |  -0.026459
0.600  |  -4.671128  |   1.316582  |  -3.234570  |   6.096505  |  -0.071883
0.625  |  -5.266257  |   1.951743  |  -4.155288  |   6.337472  |  -0.020323
0.650  |  -5.693609  |   2.400792  |  -4.831970  |   6.322797  |   0.130309
0.675  |  -5.935597  |   2.635613  |  -5.238608  |   6.045177  |   0.374988
0.700  |  -5.982528  |   2.640490  |  -5.364086  |   5.510820  |   0.701615
0.725  |  -5.833080  |   2.412839  |  -5.212631  |   4.739233  |   1.091507
0.750  |  -5.494371  |   1.963239  |  -4.803439  |   3.762271  |   1.520286
0.775  |  -4.981626  |   1.314764  |  -4.169484  |   2.622504  |   1.959151
0.800  |  -4.317450  |   0.501654  |  -3.355593  |   1.370976  |   2.376457
0.825  |  -3.530760  |  -0.432591  |  -2.415879  |   0.064488  |   2.739506
0.850  |  -2.655408  |  -1.437598  |  -1.410689  |  -1.237450  |   3.016477
0.875  |  -1.728594  |  -2.458863  |  -0.403233  |  -2.475830  |   3.178351
0.900  |  -0.789116  |  -3.440688  |   0.543929  |  -3.595336  |   3.200758
0.925  |   0.124426  |  -4.329167  |   1.372336  |  -4.547347  |   3.065601
0.950  |   0.975402  |  -5.075060  |   2.030837  |  -5.292573  |   2.762393
