Tempo  |   x001(t)   |   x002(t)   |   x003(t)   |   x004(t)   |   x005(t)   |   x006(t)   |   x007(t)   |   x008(t)   |   x009(t)   |   x010(t) 
0.000  |  -2.000000  |  -3.000000  |  -1.000000  |  -3.000000  |  -1.000000  |  -2.000000  |  -3.000000  |  -1.000000  |  -3.000000  |  -1.000000
0.025  |  -1.994678  |  -2.981620  |  -1.024903  |  -2.975098  |  -1.018374  |  -1.999378  |  -2.981004  |  -1.024902  |  -2.975085  |  -1.007145
0.050  |  -1.978606  |  -2.927162  |  -1.098447  |  -2.901553  |  -1.072735  |  -1.997541  |  -2.924807  |  -1.098446  |  -2.901347  |  -1.028078
0.075  |  -1.951474  |  -2.838642  |  -1.217195  |  -2.782804  |  -1.160834  |  -1.994583  |  -2.833749  |  -1.217193  |  -2.781767  |  -1.061312
0.100  |  -1.912802  |  -2.719314  |  -1.375590  |  -2.624400  |  -1.279034  |  -1.990651  |  -2.711616  |  -1.375578  |  -2.621163  |  -1.104459
0.125  |  -1.861997  |  -2.573518  |  -1.566203  |  -2.433758  |  -1.422465  |  -1.985944  |  -2.563474  |  -1.566160  |  -2.425972  |  -1.154345
0.150  |  -1.798423  |  -2.406474  |  -1.780070  |  -2.219814  |  -1.585237  |  -1.980702  |  -2.395452  |  -1.779946  |  -2.203963  |  -1.207177
0.175  |  -1.721484  |  -2.224043  |  -2.007090  |  -1.992616  |  -1.760694  |  -1.975196  |  -2.214466  |  -2.006786  |  -1.963885  |  -1.258741
0.200  |  -1.630718  |  -2.032445  |  -2.236479  |  -1.762869  |  -1.941707  |  -1.969717  |  -2.027928  |  -2.235822  |  -1.715076  |  -1.304613
0.225  |  -1.525886  |  -1.837979  |  -2.457254  |  -1.541432  |  -2.120976  |  -1.964561  |  -1.843413  |  -2.455968  |  -1.467042  |  -1.340403
0.250  |  -1.407062  |  -1.646729  |  -2.658718  |  -1.338829  |  -2.291348  |  -1.960017  |  -1.668336  |  -2.656392  |  -1.229034  |  -1.361978
0.275  |  -1.274714  |  -1.464290  |  -2.830943  |  -1.164753  |  -2.446122  |  -1.956356  |  -1.509625  |  -2.826997  |  -1.009632  |  -1.365693
0.300  |  -1.129757  |  -1.295511  |  -2.965204  |  -1.027622  |  -2.579334  |  -1.953814  |  -1.373421  |  -2.958861  |  -0.816368  |  -1.348589
0.325  |  -0.973603  |  -1.144290  |  -3.054365  |  -0.934181  |  -2.686010  |  -1.952586  |  -1.264812  |  -3.044633  |  -0.655394  |  -1.308568
0.350  |  -0.808170  |  -1.013409  |  -3.093196  |  -0.889184  |  -2.762370  |  -1.952811  |  -1.187609  |  -3.078851  |  -0.531211  |  -1.244525
0.375  |  -0.635871  |  -0.904425  |  -3.078590  |  -0.895162  |  -2.805981  |  -1.954569  |  -1.144186  |  -3.058185  |  -0.446480  |  -1.156435
0.400  |  -0.459579  |  -0.817630  |  -3.009700  |  -0.952288  |  -2.815849  |  -1.957874  |  -1.135376  |  -2.981577  |  -0.401916  |  -1.045386
0.425  |  -0.282554  |  -0.752069  |  -2.887961  |  -1.058355  |  -2.792446  |  -1.962665  |  -1.160435  |  -2.850294  |  -0.396274  |  -0.913564
0.450  |  -0.108351  |  -0.705624  |  -2.717015  |  -1.208849  |  -2.737670  |  -1.968816  |  -1.217079  |  -2.667868  |  -0.426417  |  -0.764179
0.475  |   0.059295  |  -0.675155  |  -2.502537  |  -1.397138  |  -2.654747  |  -1.976125  |  -1.301586  |  -2.439939  |  -0.487487  |  -0.601349
0.500  |   0.216606  |  -0.656698  |  -2.251970  |  -1.614746  |  -2.548062  |  -1.984326  |  -1.408954  |  -2.174012  |  -0.573137  |  -0.429928
0.525  |   0.359904  |  -0.645694  |  -1.974181  |  -1.851711  |  -2.422953  |  -1.993088  |  -1.533130  |  -1.879129  |  -0.675851  |  -0.255307
0.550  |   0.485763  |  -0.637265  |  -1.679056  |  -2.097019  |  -2.285453  |  -2.002027  |  -1.667269  |  -1.565475  |  -0.787300  |  -0.083178
0.575  |   0.591159  |  -0.626488  |  -1.377055  |  -2.339072  |  -2.142004  |  -2.010707  |  -1.804032  |  -1.243936  |  -0.898749  |   0.080715
0.600  |   0.673608  |  -0.608686  |  -1.078735  |  -2.566193  |  -1.999156  |  -2.018653  |  -1.935911  |  -0.925628  |  -1.001478  |   0.230832
0.625  |   0.731293  |  -0.579700  |  -0.794288  |  -2.767136  |  -1.863255  |  -2.025359  |  -2.055553  |  -0.621420  |  -1.087203  |   0.362091
0.650  |   0.763156  |  -0.536137  |  -0.533084  |  -2.931565  |  -1.740150  |  -2.030295  |  -2.156077  |  -0.341472  |  -1.148475  |   0.470104
0.675  |   0.768977  |  -0.475580  |  -0.303263  |  -3.050513  |  -1.634917  |  -2.032915  |  -2.231379  |  -0.094795  |  -1.179046  |   0.551380
0.700  |   0.749404  |  -0.396745  |  -0.111391  |  -3.116767  |  -1.551616  |  -2.032669  |  -2.276386  |   0.111117  |  -1.174177  |   0.603497
0.725  |   0.705959  |  -0.299586  |   0.037817  |  -3.125181  |  -1.493102  |  -2.029003  |  -2.287281  |   0.270603  |  -1.130872  |   0.625220
0.750  |   0.640996  |  -0.185326  |   0.141683  |  -3.072902  |  -1.460884  |  -2.021372  |  -2.261665  |   0.380058  |  -1.048042  |   0.616577
0.775  |   0.557631  |  -0.056434  |   0.199652  |  -2.959493  |  -1.455044  |  -2.009239  |  -2.198652  |   0.438068  |  -0.926568  |   0.578867
0.800  |   0.459626  |   0.083476  |   0.213284  |  -2.786952  |  -1.474227  |  -1.992084  |  -2.098910  |   0.445447  |  -0.769285  |   0.514619
0.825  |   0.351256  |   0.229798  |   0.186148  |  -2.559626  |  -1.515689  |  -1.969401  |  -1.964624  |   0.405176  |  -0.580863  |   0.427491
0.850  |   0.237133  |   0.377153  |   0.123620  |  -2.284022  |  -1.575410  |  -1.940709  |  -1.799396  |   0.322239  |  -0.367611  |   0.322116
0.875  |   0.122029  |   0.519641  |   0.032601  |  -1.968530  |  -1.648266  |  -1.905546  |  -1.608088  |   0.203384  |  -0.137200  |   0.203909
0.900  |   0.010674  |   0.651133  |  -0.078835  |  -1.623063  |  -1.728249  |  -1.863476  |  -1.396602  |   0.056798  |   0.101680  |   0.078828
0.925  |  -0.092437  |   0.765583  |  -0.201843  |  -1.258629  |  -1.808731  |  -1.814090  |  -1.171625  |  -0.108279  |   0.339709  |  -0.046889
0.950  |  -0.183239  |   0.857343  |  -0.327242  |  -0.886869  |  -1.882748  |  -1.757007  |  -0.940336  |  -0.281977  |   0.567364  |  -0.166999
0.975  |  -0.258271  |   0.921459  |  -0.445965  |  -0.519560  |  -1.943313  |  -1.691879  |  -0.710092  |  -0.454254  |   0.775349  |  -0.275533
1.000  |  -0.314826  |   0.953955  |  -0.549497  |  -0.168123  |  -1.983719  |  -1.618396  |  -0.488111  |  -0.615348  |   0.955029  |  -0.367068
1.025  |  -0.351069  |   0.952061  |  -0.630280  |   0.156855  |  -1.997842  |  -1.536290  |  -0.281160  |  -0.756218  |   1.098827  |  -0.436977
1.050  |  -0.366123  |   0.914400  |  -0.682078  |   0.446053  |  -1.980412  |  -1.445342  |  -0.095266  |  -0.868948  |   1.200582  |  -0.481638
1.075  |  -0.360105  |   0.841105  |  -0.700263  |   0.691792  |  -1.927252  |  -1.345390  |   0.064543  |  -0.947094  |   1.255843  |  -0.498609
1.100  |  -0.334124  |   0.733869  |  -0.682038  |   0.888341  |  -1.835474  |  -1.236338  |   0.194447  |  -0.985967  |   1.262091  |  -0.486746
1.125  |  -0.290229  |   0.595923  |  -0.626554  |   1.032123  |  -1.703612  |  -1.118167  |   0.291989  |  -0.982823  |   1.218866  |  -0.446263
1.150  |  -0.231316  |   0.431936  |  -0.534943  |   1.121841  |  -1.531708  |  -0.990941  |   0.356179  |  -0.936975  |   1.127812  |  -0.378735
1.175  |  -0.160997  |   0.247849  |  -0.410253  |   1.158488  |  -1.321318  |  -0.854826  |   0.387522  |  -0.849801  |   0.992626  |  -0.287035
1.200  |  -0.083430  |   0.050645  |  -0.257285  |   1.145268  |  -1.075471  |  -0.710089  |   0.387988  |  -0.724660  |   0.818905  |  -0.175216
1.225  |  -0.003124  |  -0.151940  |  -0.082351  |   1.087415  |  -0.798558  |  -0.557119  |   0.360911  |  -0.566715  |   0.613921  |  -0.048333
1.250  |   0.075273  |  -0.351739  |   0.107040  |   0.991934  |  -0.496162  |  -0.396428  |   0.310843  |  -0.382678  |   0.386308  |   0.087771
1.275  |   0.147197  |  -0.540509  |   0.302564  |   0.867253  |  -0.174847  |  -0.228657  |   0.243336  |  -0.180476  |   0.145693  |   0.226732
1.300  |   0.208391  |  -0.710295  |   0.495490  |   0.722836  |   0.158100  |  -0.054587  |   0.164702  |   0.031127  |  -0.097720  |   0.361940
1.325  |   0.255111  |  -0.853787  |   0.677121  |   0.568740  |   0.494950  |   0.124867  |   0.081725  |   0.242956  |  -0.333597  |   0.486848
1.350  |   0.284320  |  -0.964652  |   0.839223  |   0.415164  |   0.827833  |   0.308656  |   0.001365  |   0.445860  |  -0.551923  |   0.595260
1.375  |   0.293842  |  -1.037830  |   0.974443  |   0.271991  |   1.149039  |   0.495600  |  -0.069547  |   0.631156  |  -0.743440  |   0.681621
1.400  |   0.282486  |  -1.069775  |   1.076679  |   0.148358  |   1.451315  |   0.684400  |  -0.124611  |   0.791036  |  -0.900058  |   0.741279
1.425  |   0.250117  |  -1.058634  |   1.141393  |   0.052257  |   1.728133  |   0.873651  |  -0.158129  |   0.918948  |  -1.015203  |   0.770700
1.450  |   0.197691  |  -1.004341  |   1.165851  |  -0.009794  |   1.973933  |   1.061860  |  -0.165355  |   1.009908  |  -1.084109  |   0.767647
1.475  |   0.127223  |  -0.908648  |   1.149277  |  -0.033019  |   2.184315  |   1.247463  |  -0.142691  |   1.060741  |  -1.104023  |   0.731298
1.500  |   0.041721  |  -0.775056  |   1.092913  |  -0.014565  |   2.356186  |   1.428852  |  -0.087841  |   1.070243  |  -1.074321  |   0.662298
1.525  |  -0.054936  |  -0.608679  |   0.999988  |   0.046410  |   2.487854  |   1.604402  |   0.000100  |   1.039247  |  -0.996534  |   0.562757
1.550  |  -0.158167  |  -0.416025  |   0.875581  |   0.148731  |   2.579051  |   1.772501  |   0.120615  |   0.970595  |  -0.874267  |   0.436173
1.575  |  -0.262881  |  -0.204713  |   0.726408  |   0.289306  |   2.630913  |   1.931575  |   0.271792  |   0.869021  |  -0.713030  |   0.287299
1.600  |  -0.363706  |   0.016858  |   0.560523  |   0.463300  |   2.645888  |   2.080127  |   0.450422  |   0.740939  |  -0.519988  |   0.121954
1.625  |  -0.455235  |   0.239890  |   0.386953  |   0.664390  |   2.627602  |   2.216763  |   0.652136  |   0.594157  |  -0.303625  |  -0.053219
1.650  |  -0.532273  |   0.455578  |   0.215289  |   0.885085  |   2.580676  |   2.340225  |   0.871608  |   0.437529  |  -0.073355  |  -0.231026
1.675  |  -0.590083  |   0.655512  |   0.055241  |   1.117091  |   2.510503  |   2.449419  |   1.102784  |   0.280549  |   0.160908  |  -0.404026
1.700  |  -0.624611  |   0.832065  |  -0.083805  |   1.351706  |   2.423003  |   2.543441  |   1.339144  |   0.132921  |   0.389212  |  -0.564845
1.725  |  -0.632690  |   0.978743  |  -0.193233  |   1.580237  |   2.324362  |   2.621601  |   1.573981  |   0.004111  |   0.602023  |  -0.706491
1.750  |  -0.612205  |   1.090495  |  -0.265595  |   1.794393  |   2.220765  |   2.683440  |   1.800685  |  -0.097085  |   0.790665  |  -0.822653
1.775  |  -0.562205  |   1.163951  |  -0.294967  |   1.986668  |   2.118134  |   2.728744  |   2.013016  |  -0.162951  |   0.947726  |  -0.907971
1.800  |  -0.482978  |   1.197588  |  -0.277237  |   2.150676  |   2.021898  |   2.757557  |   2.205358  |  -0.187214  |   1.067398  |  -0.958264
1.825  |  -0.376060  |   1.191816  |  -0.210305  |   2.281422  |   1.936772  |   2.770178  |   2.372940  |  -0.165341  |   1.145759  |  -0.970715
1.850  |  -0.244190  |   1.148968  |  -0.094199  |   2.375517  |   1.866593  |   2.767164  |   2.512023  |  -0.094759  |   1.180954  |  -0.943990
1.875  |  -0.091215  |   1.073211  |   0.068912  |   2.431303  |   1.814186  |   2.749319  |   2.620025  |   0.025007  |   1.173290  |  -0.878293
1.900  |   0.078062  |   0.970362  |   0.274797  |   2.448900  |   1.781286  |   2.717684  |   2.695609  |   0.192294  |   1.125236  |  -0.775361
1.925  |   0.258079  |   0.847631  |   0.517342  |   2.430170  |   1.768514  |   2.673513  |   2.738702  |   0.403352  |   1.041313  |  -0.638387
1.950  |   0.442747  |   0.713299  |   0.788806  |   2.378597  |   1.775390  |   2.618251  |   2.750466  |   0.652495  |   0.927901  |  -0.471880
1.975  |   0.625709  |   0.576335  |   1.080165  |   2.299093  |   1.800417  |   2.553507  |   2.733209  |   0.932327  |   0.792947  |  -0.281471
2.000  |   0.800617  |   0.445989  |   1.381502  |   2.197741  |   1.841186  |   2.481021  |   2.690252  |   1.234054  |   0.645613  |  -0.073668
2.025  |   0.961409  |   0.331359  |   1.682442  |   2.081485  |   1.894540  |   2.402626  |   2.625750  |   1.547855  |   0.495855  |   0.144427
2.050  |   1.102583  |   0.240959  |   1.972614  |   1.957784  |   1.956752  |   2.320214  |   2.544483  |   1.863297  |   0.353966  |   0.365421
2.075  |   1.219441  |   0.182318  |   2.242103  |   1.834247  |   2.023734  |   2.235693  |   2.451625  |   2.169780  |   0.230098  |   0.581955
2.100  |   1.308305  |   0.161610  |   2.481887  |   1.718265  |   2.091255  |   2.150949  |   2.352495  |   2.456989  |   0.133793  |   0.787014
2.125  |   1.366693  |   0.183346  |   2.684231  |   1.616661  |   2.155153  |   2.067806  |   2.252316  |   2.715333  |   0.073526  |   0.974231
2.150  |   1.393436  |   0.250140  |   2.843024  |   1.535365  |   2.211550  |   1.987989  |   2.155977  |   2.936354  |   0.056300  |   1.138152
2.175  |   1.388741  |   0.362553  |   2.954035  |   1.479147  |   2.257036  |   1.913088  |   2.067825  |   3.113082  |   0.087299  |   1.274469
2.200  |   1.354198  |   0.519035  |   3.015093  |   1.451396  |   2.288833  |   1.844522  |   1.991482  |   3.240326  |   0.169621  |   1.380191
2.225  |   1.292712  |   0.715955  |   3.026166  |   1.453979  |   2.304926  |   1.783514  |   1.929704  |   3.314892  |   0.304100  |   1.453758
2.250  |   1.208391  |   0.947733  |   2.989337  |   1.487169  |   2.304145  |   1.731065  |   1.884286  |   3.335705  |   0.489227  |   1.495095
2.275  |   1.106367  |   1.207057  |   2.908700  |   1.549651  |   2.286216  |   1.687937  |   1.856014  |   3.303841  |   0.721174  |   1.505591
2.300  |   0.992571  |   1.485176  |   2.790145  |   1.638603  |   2.251760  |   1.654634  |   1.844670  |   3.222468  |   0.993920  |   1.488017
2.325  |   0.873475  |   1.772271  |   2.641076  |   1.749855  |   2.202249  |   1.631404  |   1.849080  |   3.096690  |   1.299477  |   1.446373
2.350  |   0.755799  |   2.057870  |   2.470056  |   1.878105  |   2.139929  |   1.618230  |   1.867221  |   2.933311  |   1.628197  |   1.385691
2.375  |   0.646207  |   2.331295  |   2.286398  |   2.017187  |   2.067694  |   1.614840  |   1.896352  |   2.740528  |   1.969163  |   1.311778
2.400  |   0.551003  |   2.582131  |   2.099728  |   2.160384  |   1.988943  |   1.620717  |   1.933190  |   2.527555  |   2.310632  |   1.230930
2.425  |   0.475838  |   2.800675  |   1.919535  |   2.300758  |   1.907408  |   1.635122  |   1.974108  |   2.304221  |   2.640519  |   1.149625
2.450  |   0.425439  |   2.978370  |   1.754725  |   2.431497  |   1.826967  |   1.657111  |   2.015340  |   2.080525  |   2.946900  |   1.074197
2.475  |   0.403383  |   3.108181  |   1.613214  |   2.546238  |   1.751456  |   1.685572  |   2.053196  |   1.866203  |   3.218508  |   1.010530
2.500  |   0.411916  |   3.184913  |   1.501564  |   2.639381  |   1.684485  |   1.719255  |   2.084273  |   1.670304  |   3.445208  |   0.963759
2.525  |   0.451826  |   3.205445  |   1.424680  |   2.706355  |   1.629263  |   1.756811  |   2.105635  |   1.500797  |   3.618424  |   0.938009
2.550  |   0.522385  |   3.168880  |   1.385597  |   2.743834  |   1.588449  |   1.796835  |   2.114979  |   1.364233  |   3.731496  |   0.936185
2.575  |   0.621356  |   3.076590  |   1.385346  |   2.749891  |   1.564027  |   1.837904  |   2.110763  |   1.265476  |   3.779969  |   0.959808
2.600  |   0.745064  |   2.932165  |   1.422923  |   2.724081  |   1.557212  |   1.878624  |   2.092287  |   1.207507  |   3.761775  |   1.008921
2.625  |   0.888538  |   2.741264  |   1.495347  |   2.667458  |   1.568402  |   1.917672  |   2.059734  |   1.191313  |   3.677325  |   1.082063
2.650  |   1.045707  |   2.511378  |   1.597818  |   2.582508  |   1.597160  |   1.953835  |   2.014164  |   1.215876  |   3.529486  |   1.176304
2.675  |   1.209647  |   2.251500  |   1.723955  |   2.473027  |   1.642238  |   1.986049  |   1.957462  |   1.278243  |   3.323464  |   1.287363
2.700  |   1.372877  |   1.971740  |   1.866114  |   2.343922  |   1.701639  |   2.013428  |   1.892234  |   1.373682  |   3.066584  |   1.409779
2.725  |   1.527672  |   1.682882  |   2.015759  |   2.200967  |   1.772716  |   2.035294  |   1.821674  |   1.495927  |   2.767974  |   1.537143
2.750  |   1.666398  |   1.395917  |   2.163878  |   2.050518  |   1.852292  |   2.051198  |   1.749394  |   1.637480  |   2.438185  |   1.662379
2.775  |   1.781849  |   1.121559  |   2.301423  |   1.899198  |   1.936816  |   2.060927  |   1.679230  |   1.789970  |   2.088747  |   1.778055
2.800  |   1.867560  |   0.869780  |   2.419748  |   1.753573  |   2.022518  |   2.064515  |   1.615037  |   1.944549  |   1.731683  |   1.876722
2.825  |   1.918106  |   0.649371  |   2.511023  |   1.619827  |   2.105588  |   2.062233  |   1.560472  |   2.092305  |   1.379007  |   1.951254
2.850  |   1.929347  |   0.467565  |   2.568622  |   1.503467  |   2.182346  |   2.054579  |   1.518797  |   2.224672  |   1.042231  |   1.995185
2.875  |   1.898626  |   0.329718  |   2.587439  |   1.409052  |   2.249401  |   2.042254  |   1.492686  |   2.333825  |   0.731886  |   2.003021
2.900  |   1.824909  |   0.239087  |   2.564143  |   1.339970  |   2.303807  |   2.026132  |   1.484068  |   2.413031  |   0.457100  |   1.970510
2.925  |   1.708849  |   0.196688  |   2.497337  |   1.298281  |   2.343177  |   2.007226  |   1.494000  |   2.456955  |   0.225231  |   1.894873
2.950  |   1.552784  |   0.201273  |   2.387641  |   1.284616  |   2.365792  |   1.986639  |   1.522581  |   2.461888  |   0.041591  |   1.774966
2.975  |   1.360664  |   0.249389  |   2.237662  |   1.298148  |   2.370654  |   1.965516  |   1.568920  |   2.425908  |  -0.090753  |   1.611378
3.000  |   1.137906  |   0.335553  |   2.051880  |   1.336638  |   2.357526  |   1.944997  |   1.631138  |   2.348948  |  -0.171066  |   1.406457
3.025  |   0.891188  |   0.452509  |   1.836446  |   1.396545  |   2.326920  |   1.926154  |   1.706436  |   2.232789  |  -0.200934  |   1.164263
3.050  |   0.628189  |   0.591570  |   1.598890  |   1.473197  |   2.280059  |   1.909949  |   1.791195  |   2.080951  |  -0.184151  |   0.890443
3.075  |   0.357279  |   0.743027  |   1.347775  |   1.561029  |   2.218804  |   1.897174  |   1.881126  |   1.898523  |  -0.126508  |   0.592040
3.100  |   0.087189  |   0.896594  |   1.092295  |   1.653845  |   2.145551  |   1.888408  |   1.971453  |   1.691903  |  -0.035499  |   0.277247
3.125  |  -0.173341  |   1.041894  |   0.841841  |   1.745130  |   2.063106  |   1.883979  |   2.057121  |   1.468494  |   0.080053  |  -0.044901
3.150  |  -0.415920  |   1.168941  |   0.605561  |   1.828362  |   1.974543  |   1.883932  |   2.133021  |   1.236345  |   0.210414  |  -0.364864
3.175  |  -0.632843  |   1.268604  |   0.391931  |   1.897331  |   1.883052  |   1.888006  |   2.194230  |   1.003771  |   0.345411  |  -0.672964
3.200  |  -0.817400  |   1.333038  |   0.208350  |   1.946448  |   1.791780  |   1.895625  |   2.236229  |   0.778962  |   0.474903  |  -0.959757
3.225  |  -0.964150  |   1.356057  |   0.060795  |   1.971009  |   1.703678  |   1.905901  |   2.255125  |   0.569595  |   0.589255  |  -1.216402
3.250  |  -1.069136  |   1.333422  |  -0.046469  |   1.967433  |   1.621367  |   1.917647  |   2.247832  |   0.382486  |   0.679788  |  -1.435009
3.275  |  -1.130036  |   1.263058  |  -0.111083  |   1.933433  |   1.547008  |   1.929406  |   2.212225  |   0.223270  |   0.739175  |  -1.608945
3.300  |  -1.146254  |   1.145158  |  -0.132716  |   1.868131  |   1.482203  |   1.939489  |   2.147249  |   0.096150  |   0.761780  |  -1.733101
3.325  |  -1.118925  |   0.982190  |  -0.113078  |   1.772106  |   1.427927  |   1.946027  |   2.052981  |   0.003710  |   0.743913  |  -1.804086
3.350  |  -1.050861  |   0.778806  |  -0.055841  |   1.647362  |   1.384480  |   1.947031  |   1.930639  |  -0.053190  |   0.683996  |  -1.820366
3.375  |  -0.946416  |   0.541638  |   0.033534  |   1.497241  |   1.351484  |   1.940458  |   1.782538  |  -0.075440  |   0.582636  |  -1.782318
3.400  |  -0.811294  |   0.279018  |   0.148053  |   1.326258  |   1.327898  |   1.924288  |   1.611998  |  -0.065619  |   0.442591  |  -1.692216
3.425  |  -0.652295  |   0.000608  |   0.279523  |   1.139889  |   1.312076  |   1.896596  |   1.423206  |  -0.027856  |   0.268643  |  -1.554136
3.450  |  -0.477021  |  -0.283023  |   0.418942  |   0.944306  |   1.301845  |   1.855631  |   1.221030  |   0.032384  |   0.067375  |  -1.373796
3.475  |  -0.293546  |  -0.560868  |   0.556926  |   0.746081  |   1.294612  |   1.799888  |   1.010808  |   0.108579  |  -0.153129  |  -1.158321
3.500  |  -0.110075  |  -0.821977  |   0.684162  |   0.551866  |   1.287483  |   1.728174  |   0.798113  |   0.193478  |  -0.383659  |  -0.915965
