Tempo  |    x1(t)    |    x2(t)    |    x3(t)    |    x4(t)    |    x5(t)    |    x6(t)    |    x7(t)    |    x8(t)    |    x9(t)    |    x10(t)  
0.000  |  +1.000000  |  +10.000000  |  -4.000000  |  +3.000000  |  -2.000000  |  +1.000000  |  +10.000000  |  -4.000000  |  +3.000000  |  -2.000000
0.025  |  +1.052859  |  +9.858294  |  -3.871428  |  +2.924722  |  -1.950766  |  +1.033590  |  +9.855169  |  -3.867072  |  +2.925960  |  -1.955487
0.050  |  +1.208266  |  +9.438916  |  -3.491576  |  +2.703027  |  -1.804743  |  +1.132453  |  +9.426420  |  -3.474367  |  +2.707838  |  -1.824025
0.075  |  +1.456871  |  +8.758840  |  -2.877763  |  +2.347127  |  -1.566899  |  +1.290967  |  +8.730740  |  -2.839854  |  +2.357426  |  -1.611736
0.100  |  +1.783593  |  +7.845518  |  -2.057975  |  +1.876719  |  -1.245301  |  +1.500066  |  +7.795632  |  -1.992577  |  +1.893726  |  -1.328486
0.125  |  +2.168361  |  +6.735669  |  -1.069582  |  +1.318037  |  -0.850794  |  +1.747689  |  +6.657946  |  -0.971351  |  +1.342005  |  -0.987387
0.150  |  +2.587086  |  +5.473664  |  +0.042365  |  +0.702577  |  -0.396583  |  +2.019375  |  +5.362310  |  +0.176985  |  +0.732532  |  -0.604142
0.175  |  +3.012849  |  +4.109569  |  +1.227198  |  +0.065569  |  +0.102284  |  +2.298973  |  +3.959233  |  +1.399680  |  +0.099068  |  -0.196257
0.200  |  +3.417218  |  +2.696948  |  +2.430943  |  -0.555741  |  +0.629492  |  +2.569452  |  +2.502969  |  +2.640440  |  -0.522826  |  +0.217833
0.225  |  +3.771666  |  +1.290518  |  +3.598787  |  -1.123913  |  +1.168087  |  +2.813749  |  +1.049224  |  +3.841965  |  -1.097586  |  +0.619692
0.250  |  +4.048985  |  -0.056234  |  +4.677578  |  -1.603172  |  +1.701117  |  +3.015631  |  -0.347177  |  +4.948519  |  -1.591445  |  +0.991803
0.275  |  +4.224674  |  -1.293369  |  +5.618251  |  -1.961183  |  +2.212264  |  +3.160529  |  -1.634584  |  +5.908442  |  -1.974165  |  +1.318448
0.300  |  +4.278193  |  -2.376638  |  +6.378062  |  -2.170699  |  +2.686446  |  +3.236298  |  -2.766650  |  +6.676463  |  -2.220603  |  +1.586493
0.325  |  +4.194061  |  -3.269363  |  +6.922532  |  -2.210973  |  +3.110353  |  +3.233865  |  -3.704225  |  +7.215735  |  -2.312046  |  +1.786042
0.350  |  +3.962714  |  -3.943957  |  +7.227014  |  -2.068884  |  +3.472908  |  +3.147752  |  -4.416917  |  +7.499485  |  -2.237241  |  +1.910933
0.375  |  +3.581106  |  -4.383028  |  +7.277800  |  -1.739715  |  +3.765625  |  +2.976421  |  -4.884270  |  +7.512212  |  -1.993075  |  +1.959033
0.400  |  +3.053015  |  -4.580018  |  +7.072733  |  -1.227554  |  +3.982856  |  +2.722446  |  -5.096490  |  +7.250375  |  -1.584859  |  +1.932335
0.425  |  +2.389030  |  -4.539337  |  +6.621285  |  -0.545281  |  +4.121919  |  +2.392489  |  -5.054704  |  +6.722550  |  -1.026215  |  +1.836836
0.450  |  +1.606234  |  -4.276008  |  +5.944099  |  +0.285841  |  +4.183099  |  +1.997088  |  -4.770746  |  +5.949037  |  -0.338555  |  +1.682212
0.475  |  +0.727578  |  -3.814821  |  +5.072018  |  +1.236967  |  +4.169528  |  +1.550254  |  -4.266470  |  +4.960951  |  +0.449819  |  +1.481297
0.500  |  -0.219015  |  -3.189057  |  +4.044650  |  +2.272837  |  +4.086945  |  +1.068910  |  -3.572631  |  +3.798822  |  +1.304955  |  +1.249393
0.525  |  -1.201775  |  -2.438817  |  +2.908526  |  +3.353231  |  +3.943363  |  +0.572176  |  -2.727393  |  +2.510785  |  +2.188776  |  +1.003442
0.550  |  -2.186409  |  -1.609066  |  +1.714937  |  +4.434679  |  +3.748640  |  +0.080547  |  -1.774521  |  +1.150429  |  +3.060820  |  +0.761114
0.575  |  -3.137535  |  -0.747453  |  +0.517563  |  +5.472331  |  +3.513990  |  -0.385004  |  -0.761348  |  -0.225585  |  +3.880112  |  +0.539830
0.600  |  -4.020192  |  +0.097971  |  -0.630019  |  +6.421906  |  +3.251444  |  -0.803966  |  +0.263393  |  -1.560043  |  +4.607084  |  +0.355799
0.625  |  -4.801338  |  +0.881041  |  -1.676816  |  +7.241641  |  +2.973296  |  -1.157214  |  +1.251774  |  -2.797705  |  +5.205443  |  +0.223093
0.650  |  -5.451273  |  +1.559664  |  -2.576778  |  +7.894140  |  +2.691555  |  -1.427899  |  +2.158812  |  -3.887737  |  +5.643921  |  +0.152827
0.675  |  -5.944936  |  +2.097797  |  -3.290936  |  +8.348052  |  +2.417421  |  -1.602236  |  +2.944455  |  -4.785937  |  +5.897792  |  +0.152470
0.700  |  -6.262992  |  +2.467138  |  -3.789204  |  +8.579494  |  +2.160815  |  -1.670178  |  +3.575322  |  -5.456652  |  +5.950113  |  +0.225336
